Province,year,gdpr_billion_idr,gdpr_percap_thousand_idr,population,gen_gwh,dist_gwh,gWh_cons_percap,capacity_mw,Region
KEP. RIAU,2015,155131.35,78625.43,1973042.945520298,2830.82,2694.79,1365.8040267792421,736.8,SUMATERA
KEP. RIAU,2017,166081.68,79743.68,2082693.951420351,2275.74,2823.17,1355.5376189932567,882.54,SUMATERA
DKI JAKARTA,2015,1454563.85,142913.61,10177923.922011347,3408.6,41328.6,4060.6119987417533,1359.54,JAVA
DKI JAKARTA,2017,1635359.15,157636.6,10374235.107836632,16070.82,31643.13,3050.1651130016303,6095.82,JAVA
JAWA BARAT,2015,1207232.34,25845.5,46709575.74819601,20617.92,44071.43,943.5202374258794,4077.9,JAVA
JAWA BARAT,2017,1343662.14,27970.92,48037824.28321986,37801.93,50791.2,1057.3168281008498,7272.16,JAVA
JAWA TENGAH,2015,806765.09,23887.06,33774147.59288083,25690.27,20408.19,604.254776345615,5155.26,JAVA
JAWA TENGAH,2017,893750.3,26088.91,34257862.823705554,39579.73,21057.04,614.6629784923149,7096.65,JAVA
DI YOGYAKARTA,2015,83474.45,22688.36,3679175.1365017127,0,2484.16,675.1948216202683,0.18,JAVA
DI YOGYAKARTA,2017,92300.24,24533.8,3762166.480528903,0,2724.49,724.1811371454721,0,JAVA
JAWA TIMUR,2015,1331376.1,34271.81,38847557.2197675,52624.96,30824.81,793.4812947341476,13504.4,JAVA
JAWA TIMUR,2017,1482299.58,37724.29,39292974.89760576,53868.24,34114.16,868.1999794848489,8199.5,JAVA
BANTEN,2015,368377.2,30813.03,11955241.013298595,70279.07,8575.1,717.2670120544919,12873.34,JAVA
BANTEN,2017,410137,32947.6,12448160.108778788,46111.5,22557.53,1812.1175983342152,7443.9,JAVA
BALI,2015,129126.56,31093.61,4152832.688131098,1919.8,4594.18,1106.2762083168636,1017.19,NUSA TENGGARA
BALI,2017,144933.31,34129.84,4246527.671972679,3564.45,5069.64,1193.831853130243,911.39,NUSA TENGGARA
NUSA TENGGARA BARAT,2015,89337.99,18475.14,4835578.512530893,1558.03,1402.3,289.99632543781206,393.8,NUSA TENGGARA
NUSA TENGGARA BARAT,2017,94608.21,19091.26,4955577.054631282,1563.41,1677.54,338.5155717500627,418.49,NUSA TENGGARA
NUSA TENGGARA TIMUR,2015,56770.79,11087.91,5120062.302093,820.2,749.76,146.43571811489676,297.25,NUSA TENGGARA
NUSA TENGGARA TIMUR,2017,62725.41,11863.41,5287300.19446348,600.32,855.25,161.75552144657166,302.69,NUSA TENGGARA
KALIMANTAN BARAT,2015,112346.76,23456.52,4789574.924157548,2340.32,1989.63,415.40847183844016,653.49,KALIMANTAN
KALIMANTAN BARAT,2017,124289.17,25198.01,4932499.431502726,1609.28,2252.06,456.575825557448,603.49,KALIMANTAN
KALIMANTAN TENGAH,2015,78890.97,31619.18,2495035.291870314,556.67,1048.64,420.2906481590986,242.15,KALIMANTAN
KALIMANTAN TENGAH,2017,89544.9,34370.63,2605273.7468006844,369.11,1134.95,435.63560312759296,356.76,KALIMANTAN
